timestamp,object,message
2026-06-24T02:45:00.243Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/mongodb/mongodb-driver-bom/5.8.0/mongodb-driver-bom-5.8.0.pom
2026-06-24T02:45:00.293Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/mongodb/mongodb-driver-bom/5.8.0/mongodb-driver-bom-5.8.0.pom (4.5 kB at 90 kB/s)
2026-06-24T02:45:00.296Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/neo4j/driver/neo4j-java-driver-bom/6.1.0/neo4j-java-driver-bom-6.1.0.pom
2026-06-24T02:45:00.348Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/neo4j/driver/neo4j-java-driver-bom/6.1.0/neo4j-java-driver-bom-6.1.0.pom (2.3 kB at 45 kB/s)
2026-06-24T02:45:00.350Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/neo4j/bolt/neo4j-bolt-connection-bom/11.0.2/neo4j-bolt-connection-bom-11.0.2.pom
2026-06-24T02:45:00.400Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/neo4j/bolt/neo4j-bolt-connection-bom/11.0.2/neo4j-bolt-connection-bom-11.0.2.pom (2.5 kB at 49 kB/s)
2026-06-24T02:45:00.402Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/netty/netty-bom/4.2.15.Final/netty-bom-4.2.15.Final.pom
2026-06-24T02:45:00.448Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/netty/netty-bom/4.2.15.Final/netty-bom-4.2.15.Final.pom (19 kB at 417 kB/s)
2026-06-24T02:45:00.450Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/sonatype/oss/oss-parent/7/oss-parent-7.pom
2026-06-24T02:45:00.497Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/sonatype/oss/oss-parent/7/oss-parent-7.pom (4.8 kB at 105 kB/s)
2026-06-24T02:45:00.499Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/opentelemetry/opentelemetry-bom/1.62.0/opentelemetry-bom-1.62.0.pom
2026-06-24T02:45:00.545Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/opentelemetry/opentelemetry-bom/1.62.0/opentelemetry-bom-1.62.0.pom (6.0 kB at 131 kB/s)
2026-06-24T02:45:00.548Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/prometheus/prometheus-metrics-bom/1.5.1/prometheus-metrics-bom-1.5.1.pom
2026-06-24T02:45:00.595Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/prometheus/prometheus-metrics-bom/1.5.1/prometheus-metrics-bom-1.5.1.pom (6.0 kB at 129 kB/s)
2026-06-24T02:45:00.597Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/prometheus/client_java_parent/1.5.1/client_java_parent-1.5.1.pom
2026-06-24T02:45:00.645Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/prometheus/client_java_parent/1.5.1/client_java_parent-1.5.1.pom (4.6 kB at 98 kB/s)
2026-06-24T02:45:00.647Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/prometheus/simpleclient_bom/0.16.0/simpleclient_bom-0.16.0.pom
2026-06-24T02:45:00.700Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/prometheus/simpleclient_bom/0.16.0/simpleclient_bom-0.16.0.pom (6.0 kB at 116 kB/s)
2026-06-24T02:45:00.702Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/prometheus/parent/0.16.0/parent-0.16.0.pom
2026-06-24T02:45:00.750Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/prometheus/parent/0.16.0/parent-0.16.0.pom (13 kB at 255 kB/s)
2026-06-24T02:45:00.753Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/pulsar/pulsar-bom/4.2.2/pulsar-bom-4.2.2.pom
2026-06-24T02:45:00.801Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/pulsar/pulsar-bom/4.2.2/pulsar-bom-4.2.2.pom (25 kB at 507 kB/s)
2026-06-24T02:45:00.804Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/apache/35/apache-35.pom
2026-06-24T02:45:00.804Z,backend,
2026-06-24T02:45:00.851Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/apache/35/apache-35.pom (24 kB at 527 kB/s)
2026-06-24T02:45:00.855Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/google/protobuf/protobuf-bom/4.34.2/protobuf-bom-4.34.2.pom
2026-06-24T02:45:00.902Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/google/protobuf/protobuf-bom/4.34.2/protobuf-bom-4.34.2.pom (3.7 kB at 79 kB/s)
2026-06-24T02:45:00.904Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/com/querydsl/querydsl-bom/5.1.0/querydsl-bom-5.1.0.pom
2026-06-24T02:45:00.904Z,backend,
2026-06-24T02:45:00.951Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/com/querydsl/querydsl-bom/5.1.0/querydsl-bom-5.1.0.pom (7.2 kB at 152 kB/s)
2026-06-24T02:45:00.953Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/projectreactor/reactor-bom/2025.0.6/reactor-bom-2025.0.6.pom
2026-06-24T02:45:01.000Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/projectreactor/reactor-bom/2025.0.6/reactor-bom-2025.0.6.pom (4.6 kB at 98 kB/s)
2026-06-24T02:45:01.002Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/io/rsocket/rsocket-bom/1.1.5/rsocket-bom-1.1.5.pom
2026-06-24T02:45:01.002Z,backend,
2026-06-24T02:45:01.059Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/io/rsocket/rsocket-bom/1.1.5/rsocket-bom-1.1.5.pom (2.4 kB at 43 kB/s)
2026-06-24T02:45:01.061Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/seleniumhq/selenium/selenium-bom/4.43.0/selenium-bom-4.43.0.pom
2026-06-24T02:45:01.110Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/seleniumhq/selenium/selenium-bom/4.43.0/selenium-bom-4.43.0.pom (6.0 kB at 123 kB/s)
2026-06-24T02:45:01.112Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/amqp/spring-amqp-bom/4.1.0/spring-amqp-bom-4.1.0.pom
2026-06-24T02:45:01.164Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/amqp/spring-amqp-bom/4.1.0/spring-amqp-bom-4.1.0.pom (4.2 kB at 83 kB/s)
2026-06-24T02:45:01.166Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/batch/spring-batch-bom/6.0.4/spring-batch-bom-6.0.4.pom
2026-06-24T02:45:01.218Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/batch/spring-batch-bom/6.0.4/spring-batch-bom-6.0.4.pom (3.2 kB at 61 kB/s)
2026-06-24T02:45:01.221Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/data/spring-data-bom/2026.0.0/spring-data-bom-2026.0.0.pom
2026-06-24T02:45:01.273Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/data/spring-data-bom/2026.0.0/spring-data-bom-2026.0.0.pom (5.5 kB at 106 kB/s)
2026-06-24T02:45:01.275Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/spring-framework-bom/7.0.8/spring-framework-bom-7.0.8.pom
2026-06-24T02:45:01.320Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/spring-framework-bom/7.0.8/spring-framework-bom-7.0.8.pom (5.7 kB at 126 kB/s)
2026-06-24T02:45:01.322Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/integration/spring-integration-bom/7.1.0/spring-integration-bom-7.1.0.pom
2026-06-24T02:45:01.371Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/integration/spring-integration-bom/7.1.0/spring-integration-bom-7.1.0.pom (11 kB at 220 kB/s)
2026-06-24T02:45:01.373Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/pulsar/spring-pulsar-bom/2.0.6/spring-pulsar-bom-2.0.6.pom
2026-06-24T02:45:01.423Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/pulsar/spring-pulsar-bom/2.0.6/spring-pulsar-bom-2.0.6.pom (2.7 kB at 55 kB/s)
2026-06-24T02:45:01.423Z,backend,
2026-06-24T02:45:01.425Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/restdocs/spring-restdocs-bom/4.0.1/spring-restdocs-bom-4.0.1.pom
2026-06-24T02:45:01.474Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/restdocs/spring-restdocs-bom/4.0.1/spring-restdocs-bom-4.0.1.pom (2.4 kB at 49 kB/s)
2026-06-24T02:45:01.476Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/security/spring-security-bom/7.1.0/spring-security-bom-7.1.0.pom
2026-06-24T02:45:01.476Z,backend,
2026-06-24T02:45:01.527Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/security/spring-security-bom/7.1.0/spring-security-bom-7.1.0.pom (6.7 kB at 131 kB/s)
2026-06-24T02:45:01.529Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/session/spring-session-bom/4.1.0/spring-session-bom-4.1.0.pom
2026-06-24T02:45:01.577Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/session/spring-session-bom/4.1.0/spring-session-bom-4.1.0.pom (2.5 kB at 52 kB/s)
2026-06-24T02:45:01.580Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/ws/spring-ws-bom/5.0.2/spring-ws-bom-5.0.2.pom
2026-06-24T02:45:01.633Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/springframework/ws/spring-ws-bom/5.0.2/spring-ws-bom-5.0.2.pom (2.3 kB at 43 kB/s)
2026-06-24T02:45:01.636Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/testcontainers/testcontainers-bom/2.0.5/testcontainers-bom-2.0.5.pom
2026-06-24T02:45:01.685Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/testcontainers/testcontainers-bom/2.0.5/testcontainers-bom-2.0.5.pom (12 kB at 245 kB/s)
2026-06-24T02:45:01.708Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-dependency-plugin/3.10.0/maven-dependency-plugin-3.10.0.pom
2026-06-24T02:45:01.757Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-dependency-plugin/3.10.0/maven-dependency-plugin-3.10.0.pom (19 kB at 387 kB/s)
2026-06-24T02:45:01.761Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-plugins/47/maven-plugins-47.pom
2026-06-24T02:45:01.813Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-plugins/47/maven-plugins-47.pom (7.2 kB at 139 kB/s)
2026-06-24T02:45:01.816Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/maven-parent/47/maven-parent-47.pom
2026-06-24T02:45:01.867Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/maven-parent/47/maven-parent-47.pom (54 kB at 1.1 MB/s)
2026-06-24T02:45:01.874Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/junit/junit-bom/5.14.2/junit-bom-5.14.2.pom
2026-06-24T02:45:01.958Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/junit/junit-bom/5.14.2/junit-bom-5.14.2.pom (5.7 kB at 67 kB/s)
2026-06-24T02:45:01.966Z,backend,[INFO] Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-dependency-plugin/3.10.0/maven-dependency-plugin-3.10.0.jar
2026-06-24T02:45:01.966Z,backend,
2026-06-24T02:45:02.081Z,backend,[INFO] Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-dependency-plugin/3.10.0/maven-dependency-plugin-3.10.0.jar (228 kB at 2.0 MB/s)
2026-06-24T02:45:02.097Z,backend,[INFO]
2026-06-24T02:45:02.097Z,backend,
2026-06-24T02:45:02.097Z,backend,[INFO] ---------------------< utfpr.com:Proj_Paradigmas >----------------------
2026-06-24T02:45:02.097Z,backend,[INFO] Building  0.0.1-SNAPSHOT
2026-06-24T02:45:02.097Z,backend,[INFO]   from pom.xml
2026-06-24T02:45:02.097Z,backend,[INFO] --------------------------------[ jar ]---------------------------------
2026-06-24T02:45:02.102Z,backend,[INFO]
2026-06-24T02:45:02.102Z,backend,[INFO] --- dependency:3.10.0:go-offline (default-cli) @ Proj_Paradigmas ---
